地名,目标榨季,历史单产均值(t/ha),预测单产(t/ha),最终预测单产(t/亩),参考面积(ha),观测月数
海城区,2026,92.37797619047618,91.70659445138,5.0438626948259,40.0,3
港北区,2026,100.11189325901297,100.79064859034995,5.543485672469247,5101.6,3
港南区,2026,90.37465988927012,91.84017893073894,5.051209841190642,3363.2,3
港口区,2026,58.57162826420891,62.28531312692906,3.4256922219810986,0.3,3
灌阳县,2026,44.226757828858176,46.35681002123445,2.549624551167895,100.9,3
灵山县,2026,78.37627267863664,79.48170485573124,4.3714937670652185,13847.1,3
灵川县,2026,79.02876079973692,80.73299643663636,4.440314804014999,35.3,3
玉州区,2026,117.85810828256842,114.27197623079869,6.284958692693928,99.1,3
环江毛南族自治县,2026,66.72885816695388,68.60366074816322,3.7732013411489773,3156.0,2
田东县,2026,59.97533254819807,61.823361854979055,3.400284902023848,12463.799999999997,3
田林县,2026,52.79558308952767,53.75211999881701,2.9563665999349356,11660.0,3
田阳区,2026,62.16355847435368,63.289058370149334,3.4808982103582133,2469.1,3
福绵区,2026,103.92515526650875,103.41483416744924,5.687815879209708,1946.3,3
秀峰区,2026,77.15971372701573,78.35445565260572,4.3094950608933145,0.0,3
罗城仫佬族自治县,2026,67.2381241043744,69.8348598532508,3.840917291928794,11674.2,3
良庆区,2026,72.00833208489175,72.1342421393207,3.9673833176626387,5020.2,3
苍梧县,2026,57.18922127879839,59.73497547524914,3.2854236511387027,83.0,3
荔浦市,2026,78.37992462237573,80.10646915204276,4.405855803362352,135.4,3
蒙山县,2026,79.9920634920635,81.22826531553989,4.467554592354694,0.3,3
藤县,2026,67.3126112681865,69.46781573256607,3.8207298652911335,648.7,3
融安县,2026,64.83758398542089,67.17430065692338,3.6945865361307857,2640.5,3
融水苗族自治县,2026,69.40555575061428,71.92686067055205,3.9559773368803626,5027.7,3
西乡塘区,2026,72.28499304127186,74.46259821123972,4.095442901618185,5346.7,2
西林县,2026,64.16354422840111,64.41485549669093,3.5428170523180014,866.4,3
覃塘区,2026,91.22205750333129,92.12955757568403,5.067125666662622,15349.4,3
象山区,2026,77.15971372701573,77.99675835447778,4.289821709496278,0.0,3
象州县,2026,74.4548603193427,76.37894845196472,4.200842164858059,13425.5,3
资源县,2026,77.15971372701573,76.7555613094716,4.2215558720209385,0.0,3
邕宁区,2026,76.38041664849156,76.97428069019135,4.2335854379605244,7013.9,3
那坡县,2026,54.39744036077559,55.3261542563029,3.0429384840966596,133.2,3
都安瑶族自治县,2026,79.16039331588217,81.72882378136119,4.495085307974866,3813.5,2
金城江区,2026,71.88425440799453,73.39704648152713,4.0368375564839925,4019.9,3
金秀瑶族自治县,2026,84.45699740952072,86.61377994137472,4.763757896775609,450.2,3
钟山县,2026,73.75869728288467,78.16119638873442,4.298865801380393,395.7,3
钦北区,2026,80.85357443863315,80.9985566158015,4.454920613869083,7949.2,3
钦南区,2026,58.069709798466945,59.55250184149496,3.275387601282223,9190.9,3
铁山港区,2026,68.97855810616515,69.10904458663227,3.8009974522647747,4700.8,3
银海区,2026,88.77878963055427,88.85867620552976,4.887227191304137,9627.6,3
长洲区,2026,23.540976497848398,28.264175189333734,1.5545296354133553,6.0,3
防城区,2026,99.40205520317343,97.03839998768076,5.337111999322442,2347.2,3
阳朔县,2026,90.8444045941542,92.10823063686948,5.065952685027821,383.0,3
陆川县,2026,83.43875296147556,83.78453964287576,4.608149680358166,704.9,3
隆安县,2026,78.481151335249,79.53874815733467,4.374631148653407,6004.7,2
隆林各族自治县,2026,70.69316114901784,68.58611442149878,3.772236293182433,368.8999999999999,3
雁山区,2026,77.15971372701573,78.13731911747179,4.2975525514609485,0.0,3
青秀区,2026,90.52120743228443,91.53777949842708,5.0345778724134895,5743.0,3
靖西市,2026,63.97173897341315,66.06390952577254,3.63351502391749,2043.7,3
马山县,2026,68.1900553192763,70.92822260947733,3.9010522435212533,4524.3,2
鱼峰区,2026,77.04548859617118,79.17577359970544,4.354667547983799,3040.2,3
鹿寨县,2026,66.42087616151223,68.86233794551998,3.787428587003599,8077.6,3
龙圩区,2026,57.640198031424006,59.83603124715555,3.2909817185935553,68.9,3
龙州县,2026,99.10056515174969,99.7313418432919,5.485223801381054,37509.0,3
龙胜各族自治县,2026,77.15971372701573,78.24128761164762,4.303270818640619,0.0,3
